"NOMBREDD","n_registros","parcelas_mean","especies_mean","pct_arrendatarios","pct_uso_abono","pct_gasto_semilla","pct_semilla_propia"
"AMAZONAS",157714,2.2,2.52,3.5,11.1,95.3,64.5
"ANCASH",219098,2.85,2.49,6.6,54.1,95.6,45.9
"APURIMAC",180268,3.45,3.04,5.8,61.2,99.2,62.1
"AREQUI",5836,1.66,1.4,15.1,60.4,98.4,19.4
"AYACUC",10259,3.13,1.92,6.6,42.6,97.5,68.4
"CAJAMA",9406,1.89,2.22,5.5,26,94.8,63.2
"CUSCO",225582,3.04,2.45,4,58.2,99.4,53.7
"HUANCAVELICA",168935,3.81,2.39,4,63.9,99.5,80.5
"HUANUCO",187549,2.04,2.48,7,46.1,96.8,67.1
"ICA",78148,1.53,0.77,14.3,28.1,94.4,26.1
"JUNIN",138463,2.9,1.7,17,61.8,99.8,57.7
"LALIB",9166,1.8,1.83,3.1,39.1,82.5,67
"LAMBAY",7075,1.17,1.68,13.6,33.6,91.7,27.9
"LIMA",116889,1.44,0.98,18.3,54.6,90.6,21.8
"LORETO",79546,1.32,1.47,0.5,2.2,86.9,69.9
"MADRE",5090,1.21,1.23,1.8,11.1,75.3,49.3
"MOQUEG",9566,3.64,1.7,5.1,62,98.7,31.3
"PASCO",121428,2.65,2.06,6.4,50.9,99,71.2
"PIURA",113158,1.6,2.07,5.6,18.4,95.6,48.5
"PUNO",256621,4.58,1.93,3.1,43,99.7,57
"SANMA",7049,1.35,1.38,7.2,6.6,83.9,50.8
"TACNA",119619,1.92,1.27,4.7,44.5,96.9,16.7
"TUMBES",48069,1.49,0.99,12.9,6.2,94.6,20.7
"UCAYAL",5839,1.13,1.19,2.7,4,61.8,56
"AREQUIPA",134993,2.59,1.7,15,41.6,NA,NA
"AYACUCHO",206320,4.02,2.3,4.8,40.6,NA,NA
"CAJAMARCA",229870,2.07,3.27,3.2,30.3,NA,NA
"LALIBERTAD",145023,1.95,2.1,5.6,36.8,NA,NA
"LAMBAYEQUE",88703,1.64,2.4,12,12.9,NA,NA
"MADREDEDIOS",58823,1.25,1.51,1.2,5.1,NA,NA
"MOQUEGUA",131653,3.93,1.79,4.3,55.3,NA,NA
"SANMARTIN",101636,1.52,1.79,5.2,5.1,NA,NA
"UCAYALI",62115,1.2,1.47,1.1,5.9,NA,NA
"",403565,NA,NA,6.6,33,NA,NA
