"ID_Vaca","Estatus","Grupo","Lact_N","Dias_Lact","Servicios","Fecha_Ult_Insem","Dias_Ult_Insem","IEP"
"3269","Insem","25","1","528","5","25-08-25","210","597"
"3317","Insem","25","1","374","4","6-09-25","198","455"
"3251","Insem","25","1","540","4","15-09-25","189","630"
"3372","Insem","19","1","302","1","25-08-25","210","371"
"3364","Insem","19","1","306","1","25-08-25","210","375"
"3346","Insem","19","1","297","1","1-09-25","203","373"
"3379","Insem","19","1","292","1","8-09-25","196","375"
"3380","Insem","19","1","293","1","15-09-25","189","383"
"3376","Insem","19","1","298","2","23-09-25","181","396"
"3339","Insem","19","1","284","2","23-09-25","181","382"
"3041","Insem","17","3","310","2","10-09-25","194","395"
"2770","Insem","17","5","277","1","22-09-25","182","374"
"2843","Matar","17","5","348","1","21-07-25","0","0"
"3246","Insem","16","2","264","1","19-09-25","185","358"
"3090","Insem","15","2","269","1","12-09-25","192","356"
"3212","Insem","15","2","273","1","12-09-25","192","360"
"3250","Insem","15","2","272","1","12-09-25","192","359"
"3221","Insem","15","2","274","1","22-09-25","182","371"
"3192","Insem","15","2","274","1","22-09-25","182","371"
"3215","Insem","14","2","303","1","25-08-25","210","372"
"3193","Insem","14","2","301","1","1-09-25","203","377"
"2826","Insem","14","5","295","1","1-09-25","203","371"
"2691","Insem","14","5","351","3","1-09-25","203","427"
"3211","Insem","14","2","330","3","1-09-25","203","406"
"3170","Insem","14","2","317","2","3-09-25","201","395"
"3086","Insem","14","3","293","1","8-09-25","196","376"
"3199","Insem","14","2","353","4","13-09-25","191","441"
"3202","Insem","14","2","291","1","15-09-25","189","381"
"3073","Insem","14","3","366","3","15-09-25","189","456"
"3236","Insem","14","2","276","1","22-09-25","182","373"
"2686","Insem","14","5","278","1","22-09-25","182","375"
"3177","Insem","14","2","279","1","22-09-25","182","376"
"3027","Insem","12","3","367","3","26-08-25","209","437"
"2948","Insem","12","4","296","2","7-09-25","197","378"
"2788","Insem","12","5","323","2","12-09-25","192","410"
"2979","Insem","12","3","412","3","15-09-25","189","502"
"2909","Insem","12","4","337","2","15-09-25","189","427"
"3035","Insem","12","3","274","1","22-09-25","182","371"
"3161","Insem","11","2","405","3","1-09-25","203","481"
"3020","Insem","11","3","289","1","8-09-25","196","372"
"3321","Insem","11","1","288","1","8-09-25","196","371"
"3349","Insem","11","1","289","2","12-09-25","192","376"
"2972","Insem","11","3","325","2","12-09-25","192","412"
"3368","Insem","11","1","329","4","17-09-25","187","421"
"3386","Insem","8","1","272","1","12-09-25","192","359"
"3355","Insem","8","1","283","1","15-09-25","189","373"
"3365","Insem","8","1","277","1","22-09-25","182","374"
"2942","Insem","4","3","398","3","1-09-25","203","474"
"3117","Insem","4","2","394","3","1-09-25","203","470"
"2871","Matar","4","3","551","7","18-06-25","0","0"
