"ID_Vaca","Grupo","Nombre","Lact_N","DIM","Fecha_Parto_Est","Dias_Faltan","Estatus"
"3143","4","GOLD CHI","2","412","22-02-26",-29,"Preñ2"
"3334","25","REVELATI","1","404","22-02-26",-29,"Preñ2"
"3289","18","ALPHABET","1","460","1-03-26",-22,"Preñ2"
"2924","14","CHROME S","4","374","4-03-26",-19,"Preñ"
"2748","12","PETRONE","5","417","5-03-26",-18,"Preñ"
"3282","25","ALPHABET","1","517","8-03-26",-15,"Preñ"
"2987","25","HANCOCK","3","577","8-03-26",-15,"Preñ"
"3338","25","PARFECT","1","391","8-03-26",-15,"Preñ"
"3172","10","ALPHABET","2","387","15-03-26",-8,"Preñ"
"3174","18","ALPHABET","2","518","15-03-26",-8,"Preñ"
"2912","25","YODER SE","3","573","16-03-26",-7,"Preñ"
"3290","18","MAGELLAN","1","491","17-03-26",-6,"Preñ"
"3283","25","ALPHABET","1","515","17-03-26",-6,"Preñ"
"3047","4","REMINGTO","2","537","22-03-26",-1,"Preñ"
"3144","4","KINGBOY","2","471","23-03-26",0,"Preñ"
"3169","4","CAPTIVAT","2","439","23-03-26",0,"Preñ"
"2869","25","SIMPLICI","3","579","24-03-26",1,"Preñ"
"3163","4","REVELATI","2","401","27-03-26",4,"Preñ"
"3157","11","KINGBOY","2","370","29-03-26",6,"Preñ"
"3326","25","PARFECT","1","365","29-03-26",6,"Preñ"
"3323","17","EXPECTAN","1","417","29-03-26",6,"Preñ"
"3335","25","EXPECTAN","1","386","4-04-26",12,"Preñ"
"3311","18","ZZ TOP D","1","434","5-04-26",13,"Preñ"
"3337","11","EXPECTAN","1","434","5-04-26",13,"Preñ"
"3324","25","REVELATI","1","404","12-04-26",20,"Preñ"
