"ID_Vaca","Localidad","Lact_N","Fecha_Parto_Ant","DIM","Estatus","Dias_Gestacion","Servicios","Dias_Abiertos","Prod_Promedio"
"2656","32","5","22-08-24","363","Prepa","434","3","144","0.0"
"2748","12","5","30-01-25","417","Preñ","297","2","120","33.3"
"2827","32","4","26-10-24","312","Seca","420","1","93","0.0"
"2867","11","3","11-10-24","528","Preñ","252","6","276","30.3"
"2869","25","3","21-08-24","579","Preñ","278","4","301","25.4"
"2912","25","3","27-08-24","573","Preñ","286","5","287","32.1"
"2913","22","3","25-06-24","386","Prepa","447","4","189","0.0"
"2924","14","4","14-03-25","374","Preñ","298","1","76","29.3"
"2933","12","3","31-03-25","357","Preñ","220","2","137","39.0"
"2950","4","4","8-02-25","408","Preñ","231","3","177","34.0"
"2987","25","3","23-08-24","577","Preñ","294","3","283","22.6"
"3000","22","3","8-09-24","316","Prepa","447","2","114","0.0"
"3018","14","3","6-05-25","321","Preñ","223","1","98","41.9"
"3028","14","3","26-02-25","390","Preñ","232","3","158","30.5"
"3047","4","2","2-10-24","537","Preñ","280","4","257","31.7"
"3065","32","2","11-05-24","436","Seca","426","3","255","0.0"
"3087","32","2","14-10-24","301","Seca","427","1","98","0.0"
"3110","32","2","1-09-24","323","Seca","429","3","139","0.0"
"3120","17","2","11-03-25","377","Preñ","217","3","160","37.3"
"3122","32","2","20-08-24","335","Prepa","435","3","145","0.0"
"3123","22","2","6-10-24","304","Prepa","439","2","94","0.0"
"3124","14","2","2-04-25","355","Preñ","256","2","99","37.2"
"3134","4","2","11-02-25","405","Preñ","248","3","157","32.3"
"3144","4","2","7-12-24","471","Preñ","279","3","192","23.2"
"3145","11","2","15-05-25","312","Preñ","234","1","78","34.7"
"3148","12","2","6-05-25","321","Preñ","219","2","102","38.4"
"3154","14","2","28-04-25","329","Preñ","231","1","98","36.3"
"3155","12","2","10-12-24","468","Preñ","217","2","251","31.7"
"3157","11","2","18-03-25","370","Preñ","273","1","97","39.5"
"3163","4","2","15-02-25","401","Preñ","275","2","126","34.3"
"3166","14","2","4-04-25","353","Preñ","236","2","117","36.9"
"3168","14","2","26-03-25","362","Preñ","217","2","145","35.2"
"3169","4","2","8-01-25","439","Preñ","279","2","160","32.3"
"3172","10","2","1-03-25","387","Preñ","287","1","100","36.6"
"3174","18","2","21-10-24","518","Preñ","287","3","231","25.1"
"3189","14","2","17-05-25","310","Preñ","217","1","93","44.1"
"3205","14","2","11-04-25","346","Preñ","252","1","94","37.7"
"3209","14","2","28-04-25","329","Preñ","231","1","98","38.6"
"3232","22","1","5-08-24","345","Prepa","456","3","139","0.0"
"3252","32","1","16-07-24","414","Seca","422","3","193","0.0"
"3256","32","1","30-08-24","369","Seca","406","2","164","0.0"
"3260","32","1","16-10-24","299","Seca","427","1","96","0.0"
"3266","22","1","18-08-24","353","Prepa","447","2","135","0.0"
"3271","22","1","3-10-24","312","Prepa","441","1","95","0.0"
"3276","18","1","10-01-25","437","Preñ","234","3","203","34.9"
"3277","32","1","29-10-24","286","Seca","431","1","79","0.0"
"3280","17","1","6-01-25","441","Preñ","252","3","189","34.5"
"3282","25","1","22-10-24","517","Preñ","294","4","223","23.9"
"3283","25","1","24-10-24","515","Preñ","285","5","230","29.9"
"3290","18","1","17-11-24","491","Preñ","285","5","206","31.1"
"3298","19","1","11-05-25","316","Preñ","223","1","93","38.1"
"3308","19","1","17-04-25","340","Preñ","219","2","121","36.2"
"3311","18","1","13-01-25","434","Preñ","266","2","168","22.4"
"3320","25","1","7-02-25","409","Preñ","248","3","161","40.5"
"3323","17","1","30-01-25","417","Preñ","273","3","144","28.8"
"3324","25","1","12-02-25","404","Preñ","259","2","145","32.4"
"3326","25","1","23-03-25","365","Preñ","273","1","92","25.8"
"3328","12","1","2-02-25","414","Preñ","231","5","183","30.8"
"3332","18","1","6-04-25","351","Preñ","232","2","119","29.4"
"3335","25","1","2-03-25","386","Preñ","267","2","119","35.2"
"3337","11","1","13-01-25","434","Preñ","266","2","168","24.7"
"3338","25","1","25-02-25","391","Preñ","294","1","97","35.3"
"3340","19","1","2-05-25","325","Preñ","231","1","94","34.1"
"3341","18","1","12-03-25","376","Preñ","217","2","159","34.9"
"3350","19","1","20-04-25","337","Preñ","245","1","92","28.7"
"3351","18","1","23-03-25","365","Preñ","217","2","148","29.3"
"3352","18","1","27-03-25","361","Preñ","245","2","116","31.3"
"3354","19","1","5-05-25","322","Preñ","223","1","99","40.7"
"3356","19","1","9-04-25","348","Preñ","231","2","117","30.5"
"3358","19","1","24-04-25","333","Preñ","242","1","91","26.0"
"3360","19","1","29-04-25","328","Preñ","223","1","105","35.4"
"3361","10","1","4-05-25","323","Preñ","223","1","100","32.6"
"3363","19","1","15-05-25","312","Preñ","217","1","95","26.1"
"3366","10","1","19-04-25","338","Preñ","223","2","115","36.3"
"3369","19","1","2-05-25","325","Preñ","231","1","94","38.0"
"3371","11","1","10-05-25","317","Preñ","241","1","76","35.9"
