"ID_Vaca","Grupo","Estatus","Fecha_Secado","Dias_Seca","Lact_N","Dias_Lact_Ant","Fecha_Ult_Insem","Toro","Fecha_Parto_Est","Intervalo_Parto"
"3232","22","Prepa","16-07-25","250","1","345","22-12-24","SHADO","27-09-25","418"
"2913","22","Prepa","16-07-25","250","3","386","31-12-24","SHADO","6-10-25","468"
"3000","22","Prepa","21-07-25","245","3","316","31-12-24","JEREMY","6-10-25","393"
"3266","22","Prepa","6-08-25","229","1","353","31-12-24","GAP XING","6-10-25","414"
"3271","22","Prepa","11-08-25","224","1","312","6-01-25","RENEGADE","12-10-25","374"
"3123","22","Prepa","6-08-25","229","2","304","8-01-25","JEREMY","14-10-25","373"
"3122","32","Prepa","21-07-25","245","2","335","12-01-25","SHADO","18-10-25","424"
"2656","32","Prepa","20-08-25","215","5","363","13-01-25","GAP XING","19-10-25","423"
"3277","32","Seca","11-08-25","224","1","286","16-01-25","RENEGADE","22-10-25","358"
"3110","32","Seca","21-07-25","245","2","323","18-01-25","JEREMY","24-10-25","418"
"3260","32","Seca","11-08-25","224","1","299","20-01-25","STARLORD","26-10-25","375"
"3087","32","Seca","11-08-25","224","2","301","20-01-25","JEREMY","26-10-25","377"
"3065","32","Seca","21-07-25","245","2","436","21-01-25","JEREMY","27-10-25","534"
"3252","32","Seca","3-09-25","201","1","414","25-01-25","JEREMY","31-10-25","472"
"2827","32","Seca","3-09-25","201","4","312","27-01-25","RENEGADE","2-11-25","372"
"3256","32","Seca","3-09-25","201","1","369","10-02-25","GAP XING","16-11-25","443"
