"ID_Vaca","Localidad","Lact_N","Fecha_Parto","Estatus","Fecha_Insem","Toro","Cant_Insem","Dias_Insem","Dias_Abiertos","Prod_Promedio"
"3339","19","1","12-06-25","Insem","23-09-25","INDEPENDANT","2","181","284",32.2
"3376","19","1","29-05-25","Insem","23-09-25","WISEUP","2","181","298",35.8
"3221","15","2","22-06-25","Insem","22-09-25","INDEPENDANT","1","182","274",43.6
"3192","15","2","22-06-25","Insem","22-09-25","INDEPENDANT","1","182","274",36.1
"3236","14","2","20-06-25","Insem","22-09-25","WISEUP","1","182","276",37.8
"2686","14","5","18-06-25","Insem","22-09-25","WISEUP","1","182","278",41.5
"2770","17","5","19-06-25","Insem","22-09-25","WISEUP","1","182","277",41.5
"3035","12","3","22-06-25","Insem","22-09-25","INDEPENDANT","1","182","274",35.4
"3365","8","1","19-06-25","Insem","22-09-25","INDEPENDANT","1","182","277",37.7
"3177","14","2","17-06-25","Insem","22-09-25","WISEUP","1","182","279",41.5
"3246","16","2","2-07-25","Insem","19-09-25","INDEPENDANT","1","185","264",34.8
"3380","19","1","3-06-25","Insem","15-09-25","INDEPENDANT","1","189","293",40.6
"2909","12","4","20-04-25","Insem","15-09-25","INDEPENDANT","2","189","337",44.4
"3355","8","1","13-06-25","Insem","15-09-25","WISEUP","1","189","283",39
"3073","14","3","22-03-25","Insem","15-09-25","WISEUP","3","189","366",39.4
"2979","12","3","4-02-25","Insem","15-09-25","INDEPENDANT","3","189","412",38.4
"3251","25","1","29-09-24","Insem","15-09-25","PASSPORT","4","189","540",29.6
"3202","14","2","5-06-25","Insem","15-09-25","WISEUP","1","189","291",36.3
"3199","14","2","4-04-25","Insem","13-09-25","INDEPENDANT","4","191","353",28.1
"3250","15","2","24-06-25","Insem","12-09-25","INDEPENDANT","1","192","272",42.3
"3090","15","2","27-06-25","Insem","12-09-25","WISEUP","1","192","269",40.9
"2788","12","5","4-05-25","Insem","12-09-25","INDEPENDANT","2","192","323",37.8
"3386","8","1","24-06-25","Insem","12-09-25","INDEPENDANT","1","192","272",33.2
"3212","15","2","23-06-25","Insem","12-09-25","WISEUP","1","192","273",45.2
"3349","11","1","7-06-25","Insem","12-09-25","INDEPENDANT","2","192","289",32.5
"2972","11","3","2-05-25","Insem","12-09-25","WISEUP","2","192","325",41.5
"3041","17","3","17-05-25","Insem","10-09-25","INDEPENDANT","2","194","310",45.7
"3020","11","3","7-06-25","Insem","8-09-25","WISEUP","1","196","289",40.4
"3086","14","3","3-06-25","Insem","8-09-25","WISEUP","1","196","293",39.5
"3379","19","1","4-06-25","Insem","8-09-25","INDEPENDANT","1","196","292",38.6
"3321","11","1","8-06-25","Insem","8-09-25","INDEPENDANT","1","196","288",41.1
"2948","12","4","31-05-25","Insem","7-09-25","INDEPENDANT","2","197","296",42.6
"3317","25","1","14-03-25","Insem","6-09-25","INDEPENDANT","4","198","374",32.2
"3170","14","2","10-05-25","Insem","3-09-25","WISEUP","2","201","317",39.1
"2691","14","5","6-04-25","Insem","1-09-25","INDEPENDANT","3","203","351",48.3
"3211","14","2","27-04-25","Insem","1-09-25","INDEPENDANT","3","203","330",33.6
"2826","14","5","1-06-25","Insem","1-09-25","WISEUP","1","203","295",37.3
"2942","4","3","18-02-25","Insem","1-09-25","INDEPENDANT","3","203","398",35.6
"3346","19","1","30-05-25","Insem","1-09-25","INDEPENDANT","1","203","297",37.9
"3161","11","2","11-02-25","Insem","1-09-25","WISEUP","3","203","405",27.7
"3193","14","2","26-05-25","Insem","1-09-25","WISEUP","1","203","301",35.1
"3117","4","2","22-02-25","Insem","1-09-25","INDEPENDANT","3","203","394",36.6
"3027","12","3","21-03-25","Insem","26-08-25","WISEUP","3","209","367",37.2
"3215","14","2","24-05-25","Insem","25-08-25","WISEUP","1","210","303",43.5
"3372","19","1","25-05-25","Insem","25-08-25","DOC","1","210","302",33.8
"3269","25","1","11-10-24","Insem","25-08-25","INDEPENDANT","5","210","528",29.2
"3364","19","1","21-05-25","Insem","25-08-25","DOC","1","210","306",36.4
