"ID_Animal","Estatus_Test","Grupo","DIM","Fecha_Test","Dias_Gest","Tipo"
"3269","Insem","25","528","25-08-25","210","Vaca"
"3317","Insem","25","374","6-09-25","198","Vaca"
"3251","Insem","25","540","15-09-25","189","Vaca"
"3372","Insem","19","302","25-08-25","210","Vaca"
"3364","Insem","19","306","25-08-25","210","Vaca"
"3346","Insem","19","297","1-09-25","203","Vaca"
"3379","Insem","19","292","8-09-25","196","Vaca"
"3380","Insem","19","293","15-09-25","189","Vaca"
"3376","Insem","19","298","23-09-25","181","Vaca"
"3339","Insem","19","284","23-09-25","181","Vaca"
"3041","Insem","17","310","10-09-25","194","Vaca"
"2770","Insem","17","277","22-09-25","182","Vaca"
"2843","Matar","17","348","21-07-25","0","Vaca"
"3246","Insem","16","264","19-09-25","185","Vaca"
"3090","Insem","15","269","12-09-25","192","Vaca"
"3212","Insem","15","273","12-09-25","192","Vaca"
"3250","Insem","15","272","12-09-25","192","Vaca"
"3221","Insem","15","274","22-09-25","182","Vaca"
"3192","Insem","15","274","22-09-25","182","Vaca"
"3215","Insem","14","303","25-08-25","210","Vaca"
"3193","Insem","14","301","1-09-25","203","Vaca"
"2826","Insem","14","295","1-09-25","203","Vaca"
"2691","Insem","14","351","1-09-25","203","Vaca"
"3211","Insem","14","330","1-09-25","203","Vaca"
"3170","Insem","14","317","3-09-25","201","Vaca"
"3086","Insem","14","293","8-09-25","196","Vaca"
"3199","Insem","14","353","13-09-25","191","Vaca"
"3202","Insem","14","291","15-09-25","189","Vaca"
"3073","Insem","14","366","15-09-25","189","Vaca"
"3236","Insem","14","276","22-09-25","182","Vaca"
"2686","Insem","14","278","22-09-25","182","Vaca"
"3177","Insem","14","279","22-09-25","182","Vaca"
"3027","Insem","12","367","26-08-25","209","Vaca"
"2948","Insem","12","296","7-09-25","197","Vaca"
"2788","Insem","12","323","12-09-25","192","Vaca"
"2979","Insem","12","412","15-09-25","189","Vaca"
"2909","Insem","12","337","15-09-25","189","Vaca"
"3035","Insem","12","274","22-09-25","182","Vaca"
"3161","Insem","11","405","1-09-25","203","Vaca"
"3020","Insem","11","289","8-09-25","196","Vaca"
"3321","Insem","11","288","8-09-25","196","Vaca"
"3349","Insem","11","289","12-09-25","192","Vaca"
"2972","Insem","11","325","12-09-25","192","Vaca"
"3368","Insem","11","329","17-09-25","187","Vaca"
"3386","Insem","8","272","12-09-25","192","Vaca"
"3355","Insem","8","283","15-09-25","189","Vaca"
"3365","Insem","8","277","22-09-25","182","Vaca"
"2942","Insem","4","398","1-09-25","203","Vaca"
"3117","Insem","4","394","1-09-25","203","Vaca"
"2871","Matar","4","551","18-06-25","0","Vaca"
"3484","Insem","77","1","1-09-25","203","Recría"
"3511","Insem","55","1","24-08-25","211","Recría"
"3517","Insem","55","1","24-08-25","211","Recría"
"3503","Insem","55","3","30-08-25","205","Recría"
"3501","Insem","55","2","5-09-25","199","Recría"
"3477","Insem","55","4","7-09-25","197","Recría"
"3520","Insem","55","2","11-09-25","193","Recría"
"3497","Insem","55","2","11-09-25","193","Recría"
"3507","Insem","55","2","15-09-25","189","Recría"
"3522","Insem","55","2","15-09-25","189","Recría"
"3515","Insem","55","2","16-09-25","188","Recría"
"3512","Insem","55","2","17-09-25","187","Recría"
"3492","Insem","55","2","22-09-25","182","Recría"
"3490","Insem","55","5","23-09-25","181","Recría"
"3530","Insem","45","1","27-08-25","208","Recría"
"3524","Insem","45","1","28-08-25","207","Recría"
"3535","Insem","45","1","1-09-25","203","Recría"
"3536","Insem","45","1","3-09-25","201","Recría"
"3527","Insem","45","1","4-09-25","200","Recría"
"3528","Insem","45","1","6-09-25","198","Recría"
"3538","Insem","45","1","8-09-25","196","Recría"
"3526","Insem","45","1","8-09-25","196","Recría"
"3534","Insem","45","1","11-09-25","193","Recría"
"3542","Insem","45","1","13-09-25","191","Recría"
"3541","Insem","45","1","14-09-25","190","Recría"
"3523","Insem","45","2","16-09-25","188","Recría"
"3513","Insem","45","2","17-09-25","187","Recría"
"3548","Insem","45","1","21-09-25","183","Recría"
"3521","Insem","45","1","23-09-25","181","Recría"
